[ 2022-04-27 03:13:09,382 ] Asset loading complete
[ 2022-05-04 08:04:46,822 ] Asset loading complete
[ 2022-05-04 08:05:07,288 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:05:11,116 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-04 08:05:11,116 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-04 08:05:11,116 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-04 08:05:11,193 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 08:05:11,208 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-05-04 08:05:11,219 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-05-04 08:05:11,292 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:05:11,301 ] Disconnected from gameserver
[ 2022-05-04 08:05:12,209 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:05:12,810 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:05:33,994 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Dark Alkuriuz" )
[ 2022-05-04 08:05:34,016 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-05-04 08:05:34,027 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2022-05-04 08:05:34,098 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:05:34,106 ] Disconnected from gameserver
[ 2022-05-04 08:05:34,948 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 08:05:35,349 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 08:17:23,576 ] Asset loading complete
[ 2022-05-04 08:17:39,570 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:17:40,538 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-04 08:17:40,538 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-04 08:17:40,538 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-04 08:17:40,611 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 08:17:40,631 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:17:40,642 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:17:41,639 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:17:52,250 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:17:52,326 ] Disconnected from gameserver
[ 2022-05-04 08:17:52,700 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:18:46,187 ] Asset loading complete
[ 2022-05-04 08:18:56,463 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:18:59,583 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-04 08:18:59,583 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-04 08:18:59,583 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-04 08:18:59,661 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 08:18:59,683 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:18:59,694 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:18:59,749 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:18:59,755 ] Disconnected from gameserver
[ 2022-05-04 08:19:00,684 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:19:01,669 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:19:02,877 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 08:19:02,889 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:19:02,901 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:19:03,837 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 08:25:18,010 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:25:18,092 ] Disconnected from gameserver
[ 2022-05-04 08:25:18,146 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 08:55:51,636 ] Asset loading complete
[ 2022-05-04 08:56:05,182 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:56:09,683 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-04 08:56:09,683 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-04 08:56:09,683 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-04 08:56:09,760 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 08:56:09,775 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:56:09,787 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:56:10,805 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:59:07,564 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 08:59:07,641 ] Disconnected from gameserver
[ 2022-05-04 08:59:07,981 ] News query failed: "Unrecognized event news."
[ 2022-05-04 08:59:08,960 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 08:59:08,965 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:59:08,982 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 08:59:09,916 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:00:04,805 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 09:00:04,879 ] Disconnected from gameserver
[ 2022-05-04 09:00:04,937 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:00:05,996 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 09:00:06,005 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:00:06,016 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:00:06,940 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:01:24,651 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 09:01:24,726 ] Disconnected from gameserver
[ 2022-05-04 09:01:24,784 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:01:26,092 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 09:01:26,102 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:01:26,104 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:01:27,019 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:49:31,485 ] Asset loading complete
[ 2022-05-04 09:49:37,264 ] News query failed: "Unrecognized event news."
[ 2022-05-04 09:49:38,549 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-04 09:49:38,550 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-04 09:49:38,550 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-04 09:49:38,623 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 09:49:38,648 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:49:38,659 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:49:39,649 ] News query failed: "Unrecognized event news."
[ 2022-05-04 09:51:03,717 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 09:51:03,793 ] Disconnected from gameserver
[ 2022-05-04 09:51:04,134 ] News query failed: "Unrecognized event news."
[ 2022-05-04 09:51:05,319 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 09:51:05,320 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:51:05,335 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 09:51:06,252 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:55:25,560 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 09:55:25,636 ] Disconnected from gameserver
[ 2022-05-04 09:55:54,773 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 09:55:55,632 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
